Accession,Species,Bacteria or Archaea,Genome Length (nt),Coding Length (nt),Non-coding Length (nt),Total Genes,Coding Genes,Total COGs,COGs/coding genes,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,Y,Z
NZ_CP019036,Massilia putida,Bacteria,7523017,6729076,793941,6661,6332,5902,0.932,2,3,365,43,411,88,389,187,283,192,461,233,364,217,210,319,184,719,473,488,192,78,0,0,1
NZ_CP015866,Streptomyces parvulus,Bacteria,7766531,6888345,878186,6883,6716,5900,0.878,1,1,335,46,490,115,520,240,247,212,746,185,252,5,166,241,267,825,425,413,50,114,0,0,4
NC_016109,Kitasatospora setae KM-6054,Bacteria,8783278,7544235,1239043,7570,7315,5893,0.806,3,2,304,57,463,136,443,240,293,230,745,257,255,6,150,230,264,824,412,404,40,126,0,0,9
NZ_CP012401,Azospirillum thiophilum,Bacteria,7609458,6602827,1006631,6612,6420,5893,0.918,0,6,382,50,627,88,332,205,258,208,463,252,292,184,186,303,190,682,498,522,82,82,0,0,1
NC_015312,Pseudonocardia dioxanivorans CB1190,Bacteria,7303989,6426097,877892,6845,6671,5875,0.881,1,2,543,49,486,99,317,248,388,192,656,263,176,7,163,302,319,822,468,266,41,67,0,0,0
NZ_CP009110,Amycolatopsis methanolica 239,Bacteria,7237391,6449442,787949,7096,6665,5859,0.879,2,1,439,46,500,114,420,228,375,195,748,184,204,6,145,224,362,840,444,273,31,78,0,0,0
NZ_LN831029,Achromobacter xylosoxidans,Bacteria,6813182,6027279,785903,6152,6027,5858,0.972,1,5,338,39,715,72,314,181,269,199,634,158,307,106,195,451,204,620,532,290,154,74,0,0,0
NC_020059,Rhizobium tropici CIAT 899,Bacteria,6686334,5819988,866346,6310,6150,5834,0.949,0,3,312,38,683,107,548,195,226,205,587,285,284,65,164,288,158,750,523,249,91,72,1,0,0
NZ_CP017839,Nocardia seriolae,Bacteria,8304518,7186072,1118446,7647,7239,5822,0.804,3,1,360,33,377,101,297,213,370,196,719,545,186,4,156,211,345,857,431,293,31,91,1,0,1
NZ_HG938353,Neorhizobium galegae bv. orientalis str. HAMBI 540,Bacteria,6455027,5697417,757610,6199,6034,5797,0.961,1,1,303,46,787,100,512,183,207,188,528,155,305,82,150,402,154,747,545,275,62,64,0,0,0
NC_021985,Streptomyces collinus Tu 365,Bacteria,8377286,7179762,1197524,7170,6884,5783,0.840,1,1,325,44,501,108,466,220,301,216,707,189,265,4,168,187,265,798,440,415,41,117,0,0,4
NC_012587,Sinorhizobium fredii NGR234,Bacteria,6891900,5952561,939339, , ,5781,#VALUE!,0,2,358,43,665,91,550,191,191,196,475,289,284,101,208,256,173,690,568,251,143,56,0,0,0
NC_021237,Pseudomonas protegens CHA0,Bacteria,6867980,6092626,775354,6169,6070,5756,0.948,4,6,306,45,622,101,292,214,256,212,561,137,291,140,179,353,166,726,521,397,144,82,0,0,1
NC_014918,Mesorhizobium ciceri biovar biserrulae WSM1271,Bacteria,6690028,5786100,903928, , ,5753,#VALUE!,0,5,352,35,739,91,550,201,239,194,490,135,279,61,186,272,180,744,586,228,121,63,2,0,0
NC_017585,Streptomyces cattleya NRRL 8057 = DSM 46488,Bacteria,8095515,6987786,1107729,7098,6949,5745,0.827,1,1,349,50,443,116,421,247,296,218,802,225,225,5,163,192,305,776,392,367,46,102,0,0,3
NZ_CP009486,Burkholderia ubonensis MSMB22,Bacteria,7189071,6203872,985199,6256,6062,5738,0.947,1,4,352,38,567,95,344,196,261,186,555,186,362,163,193,272,211,660,514,284,214,74,6,0,0
NC_009620,Sinorhizobium medicae WSM419,Bacteria,6817576,5833209,984367, , ,5733,#VALUE!,0,1,330,39,646,104,595,196,205,191,509,234,287,69,175,295,166,731,556,243,102,58,1,0,0
NC_007973,Cupriavidus metallidurans CH34,Bacteria,6913352,6031985,881367,6326,6169,5725,0.928,2,3,426,47,442,89,232,180,338,190,541,265,320,143,205,298,218,596,596,312,222,59,0,0,1
NC_008095,Myxococcus xanthus DK 1622,Bacteria,9139763,8214046,925717,7247,7143,5706,0.799,4,6,249,55,327,93,192,183,239,223,446,339,339,138,241,221,211,837,511,567,184,97,0,0,4
NC_016935,Paenibacillus mucilaginosus 3016,Bacteria,8739048,7387572,1351476,7326,6692,5705,0.853,0,1,236,55,436,104,824,170,143,200,612,202,247,93,116,278,162,731,483,423,72,109,1,0,7
NZ_CP015639,Pseudomonas fluorescens,Bacteria,6253326,5553648,699678,5667,5545,5683,1.025,1,2,328,45,600,91,296,211,227,197,519,188,287,202,190,286,179,685,489,413,173,74,0,0,0
NZ_CP012184,Pseudonocardia sp. EC080619-01,Bacteria,7205934,6306331,899603,6627,6341,5671,0.894,2,1,428,42,500,104,391,231,414,191,619,230,186,4,128,333,363,793,366,240,41,63,0,0,1
NC_019892,Singulisphaera acidiphila DSM 18658,Bacteria,9755686,8079803,1675883,7516,7363,5634,0.765,1,3,300,48,287,63,311,206,163,172,449,352,385,242,225,203,142,811,557,324,275,113,0,0,2
NZ_CP011492,Streptomyces sp. CNQ-509,Bacteria,8039333,6966300,1073033,6840,6521,5617,0.861,2,1,313,47,446,100,570,229,239,211,753,220,227,4,151,215,211,742,367,398,54,115,0,0,2
NZ_CP013107,Sinorhizobium americanum,Bacteria,6751508,5883365,868143,6302,5975,5597,0.937,0,2,338,39,672,93,532,189,209,194,469,212,279,79,186,268,172,654,559,267,127,57,0,0,0
NC_019966,Mycobacterium sp. JS623,Bacteria,7221766,6482728,739038,7009,6789,5596,0.824,2,1,430,43,409,88,275,208,537,178,539,194,190,11,154,235,443,887,436,239,34,63,0,0,0
NC_007761,Rhizobium etli CFN 42,Bacteria,6530228,5727470,802758,6434,6021,5584,0.927,0,2,292,42,569,101,578,178,196,192,504,229,297,95,178,262,141,696,532,308,128,63,0,0,1
NZ_AP014704,Methylobacterium aquaticum,Bacteria,7557960,6300991,1256969,6883,6561,5573,0.849,0,4,343,41,639,81,308,209,236,197,393,282,255,155,163,312,167,671,550,431,83,53,0,0,0
NC_013093,Actinosynnema mirum DSM 43827,Bacteria,8248144,7149681,1098463,7026,6824,5569,0.816,2,2,313,42,448,112,441,223,237,192,727,175,211,51,158,246,292,757,389,390,55,104,0,0,2
NC_014931,Variovorax paradoxus EPS,Bacteria,6550056,5984598,565458,6004,5884,5563,0.945,3,5,318,36,588,83,364,174,311,204,508,173,261,62,173,308,206,719,588,266,145,65,3,0,0
NZ_CP010519,Streptomyces albus,Bacteria,8384669,7061980,1322689,6735,6397,5510,0.861,1,1,339,41,445,112,407,210,355,198,659,201,218,4,142,219,316,767,347,375,45,104,0,0,4
NC_015711,Myxococcus fulvus HW-1,Bacteria,9003593,7991348,1012245,7203,6910,5507,0.797,3,6,234,60,310,89,185,179,235,209,422,336,321,138,238,204,184,809,490,576,175,95,0,0,9
NC_013132,Chitinophaga pinensis DSM 2588,Bacteria,9127347,8059196,1068151,7270,7091,5506,0.776,1,2,274,26,320,96,359,192,221,187,631,208,366,29,185,390,164,749,439,459,79,129,0,0,0
NC_010002,Delftia acidovorans SPH-1,Bacteria,6767514,5989453,778061,6122,5975,5486,0.918,2,2,322,36,484,83,240,190,253,199,588,187,254,138,167,331,171,641,603,343,179,70,0,0,3
NC_010373,Methylobacterium sp. 4-46,Bacteria,7737025,6283048,1453977,6797,6549,5478,0.836,0,6,389,44,546,82,304,227,234,191,375,275,308,144,170,285,179,633,508,406,92,78,0,0,2
NC_021499,Pseudomonas resinovorans NBRC 106553,Bacteria,6484828,5684543,800285,5824,5693,5474,0.962,1,3,355,46,577,99,188,188,306,191,483,200,231,192,184,280,205,687,480,351,151,75,0,0,1
NZ_CP017075,Novosphingobium resinovorum,Bacteria,6918128,6050813,867315,6316,6110,5428,0.888,0,1,339,48,316,85,276,176,374,179,442,335,290,63,158,385,272,749,483,242,158,54,1,0,2
NZ_LN831788,Streptomyces leeuwenhoekii,Bacteria,8122491,6877999,1244492,6915,6592,5428,0.823,1,2,309,44,464,117,499,211,264,200,672,221,234,4,147,196,243,717,380,343,45,112,0,0,3
NC_002516,Pseudomonas aeruginosa PAO1,Bacteria,6264404,5593305,671099, , ,5420,#VALUE!,2,4,332,41,530,108,235,208,241,208,494,143,265,158,198,318,168,644,524,342,179,78,0,0,0
NC_016585,Azospirillum lipoferum 4B,Bacteria,6846400,5912759,933641,6018,5853,5414,0.925,0,6,339,53,530,81,302,191,171,201,414,277,293,179,179,293,165,626,466,491,84,73,0,0,0
NC_012914,Paenibacillus sp. JDR-2,Bacteria,7184930,6337091,847839,6322,6128,5410,0.883,3,1,185,46,349,117,890,159,128,204,620,153,269,76,129,277,105,686,424,406,68,113,0,1,1
NC_013739,Conexibacter woesei DSM 14684,Bacteria,6359369,5923070,436299,5956,5828,5385,0.924,0,2,321,40,597,83,402,184,269,193,616,124,237,63,139,308,238,759,371,291,51,96,0,0,1
NC_006350,Burkholderia pseudomallei K96243,Bacteria,7247547,5988879,1258668, , ,5356,#VALUE!,1,5,322,38,516,96,331,196,252,199,456,177,345,138,176,267,218,616,501,239,191,67,9,0,0
NC_017956,Tistrella mobilis KA081020-065,Bacteria,6512983,5774828,738155,5775,5562,5338,0.960,0,3,303,41,627,70,356,193,327,187,534,145,188,86,160,356,275,644,433,262,74,73,0,0,1
NC_016604,Mycobacterium rhodesiae NBB3,Bacteria,6415739,5921602,494137,6190,6044,5319,0.880,1,0,414,33,355,86,241,177,585,162,468,213,171,6,136,235,501,816,413,220,30,56,0,0,0
NZ_CP013913,Serratia fonticola,Bacteria,6325799,5452121,873678,5933,5599,5307,0.948,1,1,293,46,450,113,474,177,155,209,497,228,261,255,171,269,136,551,441,238,274,67,0,0,0
NC_016609,Niastella koreensis GR20-10,Bacteria,9033684,7945424,1088260,7298,7137,5305,0.743,1,2,254,37,308,82,415,184,177,182,532,185,411,31,192,387,112,704,462,443,77,125,0,0,2
NC_016830,Pseudomonas fluorescens F113,Bacteria,6845832,5997630,848202,6034,5898,5299,0.898,2,4,262,43,558,97,307,184,212,203,511,151,260,163,178,319,135,651,450,390,160,58,1,0,0
NZ_CP015849,Streptomyces sp. SAT1,Bacteria,7472530,6429839,1042691,6344,6109,5275,0.863,2,1,311,40,444,127,440,218,209,211,673,186,235,4,161,225,203,679,373,372,43,114,0,0,4
NC_009925,Acaryochloris marina MBIC11017,Bacteria,8361599,6983319,1378280,7652,7228,5270,0.729,0,1,237,67,260,80,203,225,121,186,364,532,298,71,222,257,137,793,558,423,133,101,0,0,1
NC_022115,Rhodococcus erythropolis CCM2595,Bacteria,6371421,5811839,559582,5855,5753,5240,0.911,2,1,343,35,465,104,316,180,415,192,607,149,180,6,141,332,317,709,396,224,36,90,0,0,0
NZ_CP011491,Mycobacterium vaccae 95051,Bacteria,6235754,5729210,506544,5839,5723,5238,0.915,1,0,411,36,419,89,289,179,507,175,490,145,192,5,133,289,449,786,365,204,28,45,0,0,1
NZ_HG322950,Pseudomonas knackmussii B13,Bacteria,6162905,5418281,744624,5730,5551,5235,0.943,1,5,311,49,518,94,188,188,260,195,500,214,265,183,184,247,173,629,466,352,154,59,0,0,0
NZ_AP014637,Pseudomonas sp. StFLB209,Bacteria,6332373,5583699,748674,5610,5462,5234,0.958,3,2,289,44,529,83,264,193,175,203,466,200,290,171,160,372,127,583,438,422,157,61,0,0,2
NZ_CP018082,Nocardia soli,Bacteria,7310115,6436668,873447,6623,6333,5227,0.825,2,1,319,39,396,103,239,194,378,194,633,242,172,4,131,282,354,741,423,239,28,113,0,0,0
NC_010502,Methylobacterium radiotolerans JCM 2831,Bacteria,6899110,5794553,1104557,6390,6239,5219,0.837,0,4,353,39,515,76,293,216,209,201,375,194,303,143,163,313,124,600,503,443,82,68,0,0,2
NZ_CP012914,Azospirillum brasilense,Bacteria,6587527,5712049,875478,5860,5662,5211,0.920,0,4,333,41,496,89,308,205,193,200,362,193,307,153,180,272,177,632,484,436,79,67,0,0,0
NZ_CP011602,Kluyvera intermedia,Bacteria,6166452,5367148,799304,6156,5830,5186,0.890,1,0,286,46,466,92,528,200,131,213,464,376,264,119,166,290,97,566,430,268,113,70,0,0,0
NZ_CP018620,Paenibacillus xylanexedens,Bacteria,7098239,6006668,1091571,6207,5950,5177,0.870,2,0,180,48,391,134,662,165,146,224,580,186,205,93,133,271,126,675,424,368,51,110,0,0,3
NC_013947,Stackebrandtia nassauensis DSM 44728,Bacteria,6841557,6119842,721715,6405,6229,5173,0.830,1,1,275,37,401,100,446,227,187,194,711,177,219,3,156,218,190,742,372,333,42,139,0,0,2
NC_011989,Agrobacterium vitis S4,Bacteria,6320946,5488166,832780,5768,5549,5169,0.932,0,1,257,46,675,101,407,162,154,200,428,271,237,107,149,324,141,609,440,283,117,59,0,0,1
NC_008726,Mycobacterium vanbaalenii PYR-1,Bacteria,6491865,5940909,550956,6103,5963,5150,0.864,1,2,356,32,368,91,232,179,478,169,488,248,173,6,151,276,453,752,394,211,35,55,0,0,0
NC_022528,Vibrio nigripulchritudo,Bacteria,6322155,5553991,768164,5701,5528,5147,0.931,1,2,252,40,404,98,540,210,161,212,448,181,257,142,185,265,150,594,421,373,129,80,1,0,1
NZ_CP009428,Paenibacillus odorifer,Bacteria,6812473,5817297,995176,5945,5752,5114,0.889,1,0,186,52,352,116,667,163,108,218,588,160,258,84,136,296,72,663,405,379,60,145,1,0,4
NC_003062,Agrobacterium fabrum str. C58,Bacteria,5674258,5004747,669511, , ,5111,#VALUE!,0,1,253,38,634,96,477,175,177,196,451,170,254,71,140,316,136,654,469,249,97,57,0,0,0
NC_010628,Nostoc punctiforme PCC 73102,Bacteria,9059191,7324795,1734396,7442,6973,5104,0.732,1,3,272,80,291,76,224,199,140,189,273,270,311,52,203,242,219,747,625,454,92,139,0,0,2
NC_007645,Hahella chejuensis KCTC 2396,Bacteria,7215267,6283351,931916,6376,6222,5064,0.814,2,3,229,52,450,88,256,195,166,191,385,228,289,197,205,210,145,606,455,487,156,67,0,0,2
NZ_CP006644,Sphingomonas sanxanigenens DSM 19645 = NX02,Bacteria,6580298,5856494,723804,6082,5893,5056,0.858,1,3,299,40,359,78,302,157,284,176,438,291,257,42,192,322,228,662,471,243,132,76,0,0,3
NZ_CP011773,Mycobacterium sp. EPa45,Bacteria,6177406,5718448,458958,5857,5728,5056,0.883,1,0,415,29,338,79,251,180,554,159,421,148,171,10,123,212,505,808,377,203,32,40,0,0,0
NC_008705,Mycobacterium sp. KMS,Bacteria,6256079,5759498,496581,6002,5901,5051,0.856,1,0,371,48,350,86,238,171,492,163,458,254,185,9,143,247,415,736,393,198,32,61,0,0,0
NC_002947,Pseudomonas putida KT2440,Bacteria,6181873,5490027,691846, , ,5034,#VALUE!,2,2,294,45,534,92,234,187,185,202,448,237,269,123,175,289,134,597,467,332,120,66,0,0,0
NZ_CP014947,Pseudomonas koreensis,Bacteria,6301761,5491443,810318,5680,5515,5032,0.912,3,2,271,45,469,92,253,186,196,200,438,186,284,142,169,290,130,629,506,353,131,55,0,0,2
NC_016838,Klebsiella pneumoniae subsp. pneumoniae HS11286,Bacteria,5682322,5000778,681544, , ,5030,#VALUE!,1,2,307,48,498,104,560,200,129,204,463,233,239,58,158,323,114,580,424,193,114,78,0,0,0
